時間,設備,值
2024-10-19 09:16:S,SA-56/LED_LEVEL,1
2024-10-19 09:16:S,SA-56/LED_LEVEL,0
2024-10-19 09:16:S,SA-56/LED_LEVEL,1
2024-10-19 09:16:S,SA-56/LED_LEVEL,2
2024-10-19 09:16:S,SA-56/LED_LEVEL,3
2024-10-19 09:17:S,SA-56/LED_LEVEL,4
2024-10-19 09:52:56,SA-56/LED_LEVEL,1
2024-10-19 09:52:59,SA-56/LED_LEVEL,0
2024-10-19 09:53:01,SA-56/LED_LEVEL,1
2024-10-19 09:53:01,SA-56/LED_LEVEL,2
2024-10-19 09:53:02,SA-56/LED_LEVEL,3
2024-10-19 09:53:02,SA-56/LED_LEVEL,5
2024-10-19 09:53:03,SA-56/LED_LEVEL,6
2024-10-19 09:53:38,SA-56/LED_LEVEL,5
2024-10-19 09:53:38,SA-56/LED_LEVEL,4
2024-10-19 10:08:09,SA-56/LED_LEVEL,3
2024-10-19 10:08:10,SA-56/LED_LEVEL,2
